StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1,Q78_First Click,Q78_Last Click,Q78_Page Submit,Q78_Click Count,SAM_scale_1,SAM_scale_2,SAM_scale_3,G1_First Click,G1_Last Click,G1_Page Submit,G1_Click Count,Q74_First Click,Q74_Last Click,Q74_Page Submit,Q74_Click Count,Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,Passcode_static,Q76_First Click,Q76_Last Click,Q76_Page Submit,Q76_Click Count,Passcode_improv,NASA TLX_Mental_1,NASA TLX_Physical_1,NASA TLX_Temporal_1,NASA TLX_Performance_1,NASA TLX_Effort_1,NASA TLX_Frustration_1,PostQues_1,PostQues_2,PostQues_3,PostQues_4,PostQues_5,PostQues_6,PostQues_7,attention_check_1,PostQues_8,PostQues_9,PostQues_10,PostQues_11,PostQues_12,PostQues_13,PostQues_14,PostQues_15,PostQues_16,attention_check_2,PostQues_17,PostQues_18,PostQues_19,PostQues_20,PostQues_21,PostQues_22,PostQues_23,PostQues_24,attention_check_3,PostQues_25,DemModQues_age,DemModQues_education,DemModQues_gender,DemModQues_gender_5_TEXT,DemModQues_AI,DemModQues_Chatbot,attitude/trust in ai_1,attitude/trust in ai_2,attitude/trust in ai_3,attitude/trust in ai_4,attitude/trust in ai_5,attitude/trust in ai_6,attitude/trust in ai_7,attitude/trust in ai_8,attitude/trust in ai_9,attitude/trust in ai_10,attitude/trust in ai_11,DemModQues_personal,DemModQues_interest,DemModQues_cog_1,DemModQues_cog_2,DemModQues_cog_3,DemModQues_cog_4,DemModQues_cog_5,DemModQues_cog_6,Exp_condition
2024-03-13 15:24:20,2024-03-20 13:42:59,IP Address,37,598718,FALSE,2024-03-27 13:43:23,R_7ltdjkuPU3tTKgp,,,,,anonymous,EN,I consent and agree to participate,0,0,164.429,0,,,,44.345,140.984,300.212,3,,,,,,,,,,0,0,630.282,0,,12,3,10,14,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chatbot
2024-03-21 16:19:47,2024-03-21 16:30:20,IP Address,22,632,FALSE,2024-03-28 16:30:26,R_2wjAxUqWPcaxWhI,,,,,anonymous,EN,I consent and agree to participate,0,0,158.347,0,,,,,,,,,,,,0,0,301.544,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,static-chatbot
2024-04-01 16:26:47,2024-04-01 16:26:57,IP Address,100,10,TRUE,2024-04-01 16:26:58,R_2XM0mH5kJU9Rvod,,,,,anonymous,EN,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01 16:57:27,2024-04-01 17:09:40,IP Address,100,733,TRUE,2024-04-01 17:09:41,R_7khxuKU7TcZ6MOV,,,,,anonymous,EN,I consent and agree to participate,0,0,168.785,0,,,,102.694,102.694,300.066,1,,,,,,,,,,,,,,,4,0,3,16,6,4,Definitely yes,Yes,No,No,Probably not,Definitely yes,No,Probably not,Definitely yes,Definitely not,Probably not,No,Uncertain if yes or no,Definitely yes,No,Definitely yes,Definitely not,Yes,Definitely yes,Definitely yes,Uncertain if yes or no,Probably yes,Uncertain if yes or no,Uncertain if yes or no,No,Probably yes,Definitely not,Definitely not,30,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,,5,5,7 (strongly agree),6,6,7 (strongly agree),6,5,4,1 (strongly disagree),4,4,4,No,5,Extremely Characteristic,Extremely Characteristic,Extremely Uncharacteristic,Extremely Uncharacteristic,Extremely Characteristic,Extremely Characteristic,none
2024-04-01 16:56:31,2024-04-01 17:13:19,IP Address,100,1008,TRUE,2024-04-01 17:13:19,R_7ROnUTOJbEF8mXX,,,,,anonymous,EN,I consent and agree to participate,0,0,155.733,0,,,,0,0,300.134,0,0,0,306.287,0,,,,,,,,,,,14,2,2,11,10,6,Definitely yes,No,Uncertain if yes or no,Yes,No,Definitely yes,No,Probably not,Yes,No,Definitely yes,No,No,Yes,No,Definitely yes,No,Yes,No,Definitely yes,No,No,No,Yes,No,Probably yes,Definitely not,No,22,Bachelor’s degree,Female,,4,5,6,3,3,5,5,2,1 (strongly disagree),1 (strongly disagree),4,3,3,No,5,Somewhat Characteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Uncertain,Uncertain,survey-based
2024-04-01 17:00:58,2024-04-01 17:16:31,IP Address,100,932,TRUE,2024-04-01 17:16:31,R_2DTS5jXYAzILcWU,,,,,anonymous,EN,I consent and agree to participate,160.515,160.515,160.743,1,,,,0,0,300.237,0,,,,,0,0,301.357,0,,,,,,,6,2,10,9,13,4,Definitely yes,Yes,Definitely yes,Probably yes,Probably not,Probably yes,Uncertain if yes or no,Probably not,Yes,Uncertain if yes or no,Probably yes,No,Uncertain if yes or no,Definitely yes,Yes,Definitely yes,Definitely not,Yes,No,Definitely yes,Uncertain if yes or no,Probably not,Uncertain if yes or no,Yes,Definitely not,No,Definitely not,Uncertain if yes or no,33,Bachelor’s degree,Male,,6,7-Very Familiar,7 (strongly agree),6,6,7 (strongly agree),5,5,5,4,5,5,4,No,4,Somewhat Characteristic,Somewhat Characteristic,Somewhat Uncharacteristic,Extremely Uncharacteristic,Somewhat Characteristic,Somewhat Characteristic,static-chatbot
2024-04-01 16:58:35,2024-04-01 17:22:02,IP Address,100,1407,TRUE,2024-04-01 17:22:02,R_7tJw4DGy9O0lvhw,,,,,anonymous,EN,I consent and agree to participate,160.488,160.488,161.601,1,,,,85.554,116,300.084,3,,,,,,,,,,4.733,515.632,518.647,4,,14,0,5,4,6,4,Probably not,Definitely yes,Yes,Yes,No,Yes,No,Probably not,Definitely yes,Probably not,Probably yes,Probably not,Probably yes,Yes,Probably not,Definitely yes,Definitely not,Yes,Uncertain if yes or no,Definitely yes,No,Probably yes,No,No,Definitely not,No,Definitely not,Probably not,39,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,5,5,3,1 (strongly disagree),1 (strongly disagree),2,2,1 (strongly disagree),2,1 (strongly disagree),3,3,4,No,1-Not interested at all,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Uncertain,Somewhat Characteristic,Uncertain,Extremely Uncharacteristic,chatbot
2024-04-01 17:07:10,2024-04-01 17:24:59,IP Address,100,1069,TRUE,2024-04-01 17:24:59,R_5GHugjqlTSwTlo5,,,,,anonymous,EN,I consent and agree to participate,0,0,165.142,0,,,,95.063,297.57,300.034,3,115.493,115.493,301.375,1,,,,,,,,,,,8,1,16,12,11,13,Definitely yes,Definitely yes,Definitely not,Yes,Yes,Definitely yes,Probably not,Probably not,Definitely yes,Probably yes,Probably yes,Probably not,No,Definitely yes,Probably not,Definitely yes,No,Yes,Yes,Yes,Probably not,Uncertain if yes or no,No,Uncertain if yes or no,Probably not,Probably not,Definitely not,No,39,Bachelor’s degree,Male,,5,5,6,5,4,5,4,2,2,1 (strongly disagree),2,2,2,No,4,Somewhat Characteristic,Somewhat Characteristic,Somewhat Uncharacteristic,Somewhat Characteristic,Somewhat Characteristic,Somewhat Characteristic,survey-based
2024-04-01 17:11:14,2024-04-01 17:29:00,IP Address,100,1066,TRUE,2024-04-01 17:29:01,R_2RvHBhOJeLoeSY6,,,,,anonymous,EN,I consent and agree to participate,0,0,157.803,0,,,,0,0,300.245,0,,,,,0,0,311.535,0,,,,,,,14,0,2,16,13,0,Probably yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Definitely yes,No,Probably not,Definitely yes,Definitely not,No,No,No,Uncertain if yes or no,Uncertain if yes or no,Definitely yes,Definitely not,Yes,Yes,Definitely yes,No,Uncertain if yes or no,Uncertain if yes or no,Uncertain if yes or no,Definitely not,Uncertain if yes or no,Definitely not,Probably not,25,Bachelor’s degree,Female,,3,4,5,4,2,5,4,1 (strongly disagree),1 (strongly disagree),3,1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),No,4,Uncertain,Uncertain,Uncertain,Somewhat Uncharacteristic,Somewhat Characteristic,Somewhat Uncharacteristic,static-chatbot
2024-04-01 17:13:19,2024-04-01 17:29:04,IP Address,100,944,TRUE,2024-04-01 17:29:04,R_2nqkaprovSCpKTK,,,,,anonymous,EN,I consent and agree to participate,6.193,161.053,162.303,5,,,,8.366,244.629,300.199,8,,,,,,,,,,,,,,,6,1,1,3,4,5,Definitely yes,Yes,No,Definitely yes,Uncertain if yes or no,Definitely yes,No,Probably not,Definitely yes,No,No,No,Uncertain if yes or no,No,No,Yes,No,Yes,Yes,Yes,No,Uncertain if yes or no,No,Probably yes,No,No,Definitely not,No,31,Bachelor’s degree,Female,,7-Very Familiar,7-Very Familiar,6,5,6,3,4,2,2,1 (strongly disagree),2,2,2,No,7-Very interested,Uncertain,Somewhat Characteristic,Somewhat Uncharacteristic,Uncertain,Somewhat Characteristic,Somewhat Characteristic,none
2024-04-01 18:18:59,2024-04-01 18:46:43,IP Address,100,1664,TRUE,2024-04-01 18:46:43,R_57y7kMPKeYdB1A9,,,,,anonymous,EN,I consent and agree to participate,159.473,159.473,160.855,1,,,,9.365,106.74,300.244,4,,,,,,,,,,10.31,324.188,324.872,8,,4,0,2,16,5,2,Definitely yes,Definitely yes,Definitely not,Definitely yes,Uncertain if yes or no,No,Definitely not,Probably not,Definitely yes,Definitely not,Uncertain if yes or no,Definitely not,Uncertain if yes or no,Probably yes,No,Definitely yes,No,Yes,Yes,Definitely yes,No,Probably yes,Uncertain if yes or no,Uncertain if yes or no,No,Uncertain if yes or no,Definitely not,Uncertain if yes or no,52,Bachelor’s degree,Female,,4,4,6,4,4,5,5,4,3,3,4,4,4,No,7-Very interested,Uncertain,Somewhat Characteristic,Uncertain,Uncertain,Somewhat Characteristic,Uncertain,chatbot
2024-04-01 20:35:56,2024-04-01 20:51:33,IP Address,100,937,TRUE,2024-04-01 20:51:34,R_2PdFEhuBRPBZobv,,,,,anonymous,EN,I consent and agree to participate,0,0,165.579,0,,,,15.578,187.777,300.241,5,,,,,,,,,,,,,,,9,6,7,6,7,7,Definitely yes,Uncertain if yes or no,Uncertain if yes or no,Definitely yes,Probably yes,Definitely yes,Definitely yes,Probably not,Yes,Probably yes,Uncertain if yes or no,No,No,Probably yes,No,Definitely yes,Probably yes,Yes,Probably yes,Definitely yes,No,Probably yes,Probably not,Uncertain if yes or no,No,Uncertain if yes or no,Definitely not,No,37,"Some college, but no degree",Female,,7-Very Familiar,7-Very Familiar,7 (strongly agree),6,6,6,6,6,6,4,4,4,4,No,5,Extremely Characteristic,Somewhat Characteristic,Extremely Uncharacteristic,Extremely Uncharacteristic,Extremely Characteristic,Extremely Characteristic,none
